Reference;DistributionStatus;wdDistributionStatusCountryCode;CountryOrigin;wdCountryOriginCountryCode;NotificationFrom;wdNotificationFromCountryCode;DateOfCase;LastUpdate;Classifications;ActionTaken;Product;ProductCategory;RiskDecision;HazardSubstance;HazardAnalyticalResult;HazardUnits;HazardSamplingDate;Subject.description,,,,,,,,
2008.ACM;Germany;Q183;India;Q668;Germany;Q183;15/01/2008;17/03/2008;feed  -  border rejection  -  border control - consignment detained;destruction;dog chews;pet food;undecided;suspicion of fraudulent health certificate(s);copy only;;;specified risk material (SRM) (category 1) in and suspicion of fraudulent health certificate(s) (copy only) for dog chews from India,,,,,,,,
1985.17;Germany;Q183;France;Q142;Germany;Q183;19/11/1985;;Food  -  alert  -;;Champagne;wine;undecided;diethylene glycol  (DEG);;;;DEG in Champagne,,,,,,,,
2.010.161;Germany;Q183;Argentina;Q414;Germany;Q183;25/11/2010;29/11/2010;food  -  information  -  border control - consignment released;informing authorities;salted bovine casings;meat and meat products (other than poultry);undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for salted bovine casings from Argentina,,,,,,,,
2010.CAJ;Germany;Q183;Egypt;Q79;Germany;Q183;17/11/2010;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;sheep's casings (Ovis aries);meat and meat products (other than poultry);undecided;improper health certificate(s);;;;improper health certificate(s) for sheep's casings (Ovis aries) from Egypt,,,,,,,,
2012.CHC;Germany;Q183;Brazil;Q155;Germany;Q183;15/11/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;Brazil nuts in shell;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for Brazil nuts in shell from Brazil,,,,,,,
2011.ARB;Germany;Q183;India;Q668;Germany;Q183;23/03/2011;28/03/2011;feed  -  border rejection  -  border control - consignment detained;(obsolete);dog chews;pet food;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for dog chews from India,,,,,,,,
2008.BUR;Germany;Q183;Lebanon;Q822;Germany;Q183;19/11/2008;07/01/2009;food  -  border rejection  -  border control - consignment detained;(obsolete);salted bovine casings declared as salted sheep casings;meat and meat products (other than poultry);undecided;illegal import;;;31/10/2008;illegal import of salted bovine casings declared as salted sheep casings from Lebanon,,,,,,,,
1985.18;Germany;Q183;Turkey;Q43;Germany;Q183;09/12/1985;;Food  -  alert  -;;Food poisoned;other food product / mixed;undecided;poison - extortion;;;;poison - extortion with Food poisoned,,,,,,,,
2009.CCL;Germany;Q183;Iran;Q794;Germany;Q183;11/12/2009;11/12/2009;food  -  border rejection  -  border control - consignment detained;(obsolete);bovine casings;meat and meat products (other than poultry);undecided;attempt to illegally import;;;;attempt to illegally import bovine casings from Iran,,,,,,,,
20.120.162;Germany;Q183;Italy;Q38;Denmark;Q35;01/02/2012;16/03/2012;food  -  information for follow-up  -  official control on the market;informing recipient(s);horse carcasses;meat and meat products (other than poultry);undecided;suspicion of fraud;;;;suspicion of fraud in relation to horse carcasses from Denmark, processed in Italy,,,,,,,
2011.BOM;Germany;Q183;India;Q668;Germany;Q183;01/08/2011;01/08/2011;feed  -  border rejection  -  border control - consignment detained;(obsolete);dogchews;pet food;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for dogchews from India,,,,,,,,
1985.06;Germany;Q183;Italy;Q38;Germany;Q183;07/08/1985;;Food  -  alert  -;;ice mixes;ices and desserts;undecided;monoethylene glycol (MEG);;;;monoethylene glycol (MEG) in ice mixes,,,,,,,,
20.080.867;Germany;Q183;Italy;Q38;Germany;Q183;17/07/2008;18/08/2008;food  -  information  -  official control on the market;withdrawal from the market;oil labelled as extra virgin olive oil;fats and oils;undecided;fraud;over 50% of the oil is not olive oil;;07/05/2008;fraud (over 50% of the oil is not olive oil) with oil labelled as extra virgin olive oil from Italy,,,,,,,,
2008.ABI;Germany;Q183;Turkey;Q43;Germany;Q183;08/01/2008;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;dried figs;fruits and vegetables;undecided;improper health certificate(s);lot number on the certificate is different than the one on the packages;;;improper health certificate(s) (lot number on the certificate is different than the one on the packages) for dried figs from Turkey,,,,,,,,
2012.CHB;Germany;Q183;Brazil;Q155;Germany;Q183;15/11/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;brazil nuts in shell;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for brazil nuts in shell from Brazil,,,,,,,
20.130.238;Germany;Q183;Austria;Q40;Germany;Q183;25/02/2013;06/03/2013;food  -  information for follow-up  -  company's own check;recall from consumers;pasta sauce bolognese;prepared dishes and snacks;not serious;adulteration;detection of horse DNA without proper labelling: 3.5%;;14/02/2013;adulteration (detection of horse DNA without proper labelling: 3.5%) of pasta sauce bolognese from Austria,,,,,,,,
2.005.856;Germany;Q183;Denmark;Q35;Denmark;Q35;25/11/2005;;Food  -  alert  -  official control on the market;;turkey meat;poultry meat and poultry meat products;undecided;suspicion of illegal trade;;;;suspicion of illegal trade of turkey meat from Denmark,,,,,,,,
2008.BQF;Germany;Q183;Lebanon;Q822;Germany;Q183;21/10/2008;18/06/2010;food  -  border rejection  -  border control - consignment detained;re-dispatch;salted bovine casings declared as salted sheep casings;meat and meat products (other than poultry);undecided;illegal import;;;13/10/2008;illegal import of salted bovine casings declared as salted sheep casings from Lebanon,,,,,,,,
1986.01;Germany;Q183;Sri Lanka;Q854;Germany;Q183;07/01/1986;;Food  -  alert  -;;Tea;cocoa and cocoa preparations, coffee and tea;undecided;poison - extortion;;;;poison - extortion with Tea,,,,,,,
1986.01;Germany;Q183;Sri Lanka;Q854;Germany;Q183;07/01/1986;;Food  -  alert  -;;Tea;cocoa and cocoa preparations, coffee and tea;undecided;poison - extortion;;;;poison - extortion with Tea,,,,,,,
2011.AQI;Germany;Q183;India;Q668;Germany;Q183;22/03/2011;31/05/2017;feed  -  border rejection  -  border control - consignment detained;destruction;dog chews;pet food;undecided;absence of health certificate(s);;;;absence of health certificate(s) for dog chews from India,,,,,,,,
20.130.329;Germany;Q183;Poland;Q36;Germany;Q183;08/03/2013;10/05/2013;food  -  information for follow-up  -  company's own check;informing recipient(s);frozen beef;meat and meat products (other than poultry);not serious;adulteration;Horse DNA > 1;%;26/02/2013;adulteration (Horse DNA > 1 %) of frozen beef from Poland,,,,,,,,
20.130.308;Germany;Q183;Spain;Q29;Germany;Q183;07/03/2013;25/04/2014;food  -  information for follow-up  -  company's own check;;frozen beef;meat and meat products (other than poultry);not serious;adulteration;horse DNA: 90;;;,,,,,,,,
2010.ACW;Germany;Q183;Argentina;Q414;Germany;Q183;22/01/2010;22/01/2010;food  -  border rejection  -  border control - consignment detained;destruction;frozen beef;meat and meat products (other than poultry);undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen beef from Argentina,,,,,,,,
2.011.035;Germany;Q183;Spain;Q29;Spain;Q29;17/03/2011;26/10/2011;food  -  information for follow-up  -  official control on the market;official detention;ostrich meat (vacuum packed fresh and frozen);meat and meat products (other than poultry);undecided;fraudulent use of health mark;;;;fraudulent use of health mark for ostrich meat (vacuum packed fresh and frozen) from Spain,,,,,,,,
20.101.593;Germany;Q183;Argentina;Q414;Germany;Q183;23/11/2010;23/11/2010;food  -  information  -  border control - consignment released;informing authorities;salted bovine casings;meat and meat products (other than poultry);undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for salted bovine casings from Argentina,,,,,,,,
20.101.376;Germany;Q183;Poland;Q36;Denmark;Q35;11/10/2010;28/10/2010;food  -  information  -  company's own check;return to consignor;table eggs;eggs and egg products;undecided;suspicion of fraud - expiry dates changed;;;;suspicion of fraud - expiry dates changed of table eggs from Poland, via Germany,,,,,,,
2010.CBV;Germany;Q183;Argentina;Q414;Germany;Q183;23/11/2010;23/11/2010;food  -  border rejection  -  border control - consignment detained;seizure;salted bovine casings;meat and meat products (other than poultry);undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for salted bovine casings from Argentina,,,,,,,,
20.130.255;Germany;Q183;France;Q142;Germany;Q183;26/02/2013;28/02/2013;food  -  information for follow-up  -  official control on the market;withdrawal from the market;lasagne bolognese;prepared dishes and snacks;not serious;adulteration;presence of horse DNA 5-30%;;20/02/2013;adulteration (presence of horse DNA 5-30%) of lasagne bolognese from France,,,,,,,,
2.004.611;Germany;Q183;France;Q142;France;Q142;22/11/2004;;Food  -  alert  -  official control on the market;(obsolete);bacon;meat and meat products (other than poultry);undecided;monoethylene glycol (MEG);;;;monoethylene glycol (MEG) in bacon,,,,,,,,
20.130.401;Germany;Q183;Poland;Q36;Germany;Q183;19/03/2013;27/03/2013;food  -  information for follow-up  -  company's own check;informing authorities;beef roulade in spicy sauce;prepared dishes and snacks;not serious;adulteration;presence of unlabelled horse DNA: > 1;%;01/01/1970;adulteration (presence of unlabelled horse DNA: > 1 %) of beef roulade in spicy sauce from Poland,,,,,,,,
2009.BYI;Germany;Q183;Turkey;Q43;Germany;Q183;11/11/2009;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;dried figs;fruits and vegetables;undecided;improper health certificate(s);;;;improper health certificate(s) for dried figs from Turkey,,,,,,,,
2004.CRX;Germany;Q183;Russia;Q159;Germany;Q183;14/12/2004;;Food  -  information  -  official control on the market;(obsolete);canned mackerel-pike;fish and fish products;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for canned mackerel-pike,,,,,,,,
20.171.205;Germany;Q183;Poland;Q36;Austria;Q40;10/08/2017;18/08/2017;feed  -  information for follow-up  -  company's own check;return to consignor;brewer's yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 1.99;%;19/07/2017;suspicion of adulteration (unlabelled urea: 1.99 %) of brewer's yeast from Poland,,,,,,,,
2005.DBJ;Germany;Q183;Spain;Q29;Germany;Q183;05/12/2005;;Food  -  information  -  official control on the market;seizure;various meats;meat and meat products (other than poultry);undecided;illegal trade;;;;illegal trade of various meats from Italy and from Spain, via France,,,,,,,
2009.BOP;Germany;Q183;South Korea;Q884;Germany;Q183;01/09/2009;21/09/2009;food  -  border rejection  -  border control - consignment detained;destruction;frozen clams (Venerupis spp, Pectimidae);bivalve molluscs and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen clams (Venerupis spp, Pectimidae) allegedly from the Republic of Korea, dispatched from China,,,,,
2006.CQR;Greece;Q41;Pakistan;Q843;Greece;Q41;17/11/2006;;food  -  information  -  border control - consignment detained;re-dispatch;butter;milk and milk products;undecided;attempt to illegally import;;;;illegal import of butter from Pakistan,,,,,,,,
20.191.505;Greece;Q41;Turkey;Q43;Greece;Q41;23/04/2019;16/05/2019;food  -  border rejection  -  border control - consignment detained;re-dispatch;hulled sesame seeds;nuts, nut products and seeds;not serious;improper health certificate(s);;;11/02/2019;improper health certificate(s) for hulled sesame seeds from India, dispatched from Turkey,,,,,,
2009.AJJ;Greece;Q41;Brazil;Q155;Greece;Q41;20/02/2009;02/03/2009;food  -  border rejection  -  border control - consignment detained;re-dispatch;frozen boneless beef;meat and meat products (other than poultry);undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen boneless beef from Brazil,,,,,,,,
2016.BRR;Greece;Q41;Bangladesh;Q902;Greece;Q41;20/12/2016;20/12/2016;food  -  border rejection  -  border control - consignment detained;destruction;betel leaves;fruits and vegetables;not serious;attempt to illegally import;;;;attempt to illegally import betel leaves from Bangladesh,,,,,,,,
